WORD TO INSERT,LINKED LIST SET TIME,HASH TABLE SET TIME,BINARY TREE SET TIME
EBOOK,2300,7700,1900
PRIDE,2700,8000,2500
AND,2400,7300,1900
PREJUDICE,2200,7600,2700
Produced,5200,33400,2200
by,2400,8000,1000
Anonymous,3500,9100,2300
Volunteers,2500,8700,2000
PRIDE,1000,8700,1700
AND,600,5000,1100
PREJUDICE,500,4800,1500
By,3400,10500,2100
Jane,2300,6500,900
Austen,1900,5900,700
Chapter,6000,20200,6300
1,2900,8900,2400
It,3400,10800,1800
is,2200,7700,1200
a,2400,6300,1800
truth,2500,6600,2100
universally,2400,8400,1900
acknowledged,2400,7900,1700
that,2700,6700,1700
a,5200,9600,1100
single,3100,7500,1600
man,2900,7000,2400
in,2700,6600,2400
possession,2600,7200,2000
of,3300,16600,1100
a,900,5900,1300
good,3900,8600,4300
fortune,3200,8100,2200
must,3000,7300,2100
be,3000,7200,2300
in,600,4300,1500
want,3100,7200,1900
of,2700,6700,500
a,700,4200,1000
wife,4200,8600,3600
However,4900,13800,3100
little,3100,8100,2300
known,3000,7500,2400
the,2500,6500,800
feelings,2800,7500,1700
or,2100,5800,1000
views,2900,7300,1600
of,2800,6800,600
such,3300,7900,1900
a,900,4500,1200
man,600,4200,1400
may,2200,5900,1000
be,500,4000,1300
on,4200,8700,1900
his,3300,7500,2500
first,4200,11600,2500
entering,3200,8300,2100
a,1000,4600,1100
neighbourhood,3000,7900,1900
this,2200,6100,1000
truth,900,4700,1100
is,2800,6600,1000
so,3400,7400,2000
well,3500,8600,1900
fixed,3500,7900,2300
in,1000,3900,1300
the,3700,7000,500
minds,3300,6600,1900
of,4000,9900,800
the,2800,6300,700
surrounding,3200,7200,2300
families,3200,6800,2000
that,1200,4200,1000
he,3300,6600,4100
is,2900,5900,900
considered,3100,6800,1700
the,6600,10300,600
rightful,3400,7000,1400
property,3100,6600,1700
of,6300,12200,900
some,2400,6100,2400
one,1800,4900,2000
or,1300,3800,800
other,1800,4600,2800
of,1700,21300,600
their,2300,5500,1800
daughters,1500,4800,1500
My,3300,9300,2800
dear,2400,5900,2100
Mr,1900,9000,2200
Bennet,2300,5400,1900
said,1800,5200,1800
his,600,3100,1300
lady,1700,4300,2200
to,3400,6000,1700
him,1800,4400,2500
one,400,2700,1800
day,1800,4200,1800
have,1800,4400,2300
you,1900,7300,2200
heard,2000,4900,2600
that,900,3800,800
Netherfield,2900,8600,2400
Park,2100,7600,2500
is,1800,5000,1000
let,1900,4500,2600
at,1500,3800,1100
last,1800,4400,2400
Mr,700,4900,1700
Bennet,400,3200,1200
replied,2800,6000,2000
that,1000,3500,900
he,400,2500,1500
had,2000,4600,2600
not,1800,4200,1600
But,4200,9500,2400
it,1800,6400,1300
is,1700,3900,700
returned,2100,5100,1900
she,1800,4400,2000
for,1600,3900,800
Mrs,1800,8000,2100
Long,2200,4700,1800
has,1900,4400,2600
just,2000,4400,1900
been,1900,4300,1800
here,1900,9600,2800
and,2000,4400,600
she,300,2300,1100
told,3300,8300,2800
me,2300,5000,2600
all,2100,4600,1900
about,2000,17400,3900
it,2900,10300,2900
Mr,1100,5900,1700
Bennet,500,3100,1300
made,3600,6500,2500
no,1700,4200,900
answer,1900,6500,1600
Do,4200,9700,2500
you,700,3000,1500
not,400,2200,1000
want,1100,3000,1100
to,600,2400,900
know,2500,4700,2600
who,2200,4200,1800
has,500,2700,1900
taken,6000,14900,4500
it,4000,16400,5700
cried,4400,9300,5300
his,1500,11700,1900
wife,1300,3800,1000
impatiently,2700,5700,2400
You,2800,7600,1600
want,1100,4500,1300
to,600,2500,1000
tell,2900,5100,2400
me,400,2100,1300
and,2000,3800,400
I,1800,3600,2000
have,700,23100,5100
no,3200,6800,1500
objection,2700,14500,2100
to,700,2300,1000
hearing,2400,4500,3200
it,1800,3300,1000
This,3000,6400,1100
was,2600,6400,2300
invitation,3100,6300,2800
enough,2100,4000,2600
Why,3700,7100,2500
my,2500,4500,2100
dear,1000,2600,1100
you,700,4000,900
must,1100,2600,900
know,300,1800,1300
Mrs,600,1900,1300
Long,400,1800,1100
says,2300,4100,2300
that,1300,2800,700
Netherfield,600,2500,1000
is,2000,3300,700
taken,400,1900,1000
by,3100,10000,1100
a,1400,2700,800
young,2700,4600,1700
man,1300,2600,1200
of,2000,5200,400
large,2300,4000,2700
fortune,2100,3800,1100
from,2400,4000,1800
the,1900,3300,500
north,2200,3900,1500
of,2000,3300,300
England,1900,3600,1300
that,1200,2600,700
he,800,2100,1200
came,2200,3800,1600
down,3700,6600,2400
on,1200,6300,1100
Monday,2200,4100,3000
in,1200,2400,1100
a,1100,2200,700
chaise,1900,3500,1700
and,1900,5200,400
four,2300,3800,2000
to,700,1900,900
see,2100,3500,2000
the,1800,3100,500
place,2000,7000,1700
and,2000,3300,400
was,400,1500,900
so,1000,2100,800
much,2200,3800,2900
delighted,3700,9900,2600
with,2400,4100,800
it,1900,3300,1100
that,1200,2500,700
he,1000,2900,1200
agreed,2200,4500,2100
with,2000,3400,600
Mr,800,2000,1000
Morris,2100,3700,2400
immediately,2100,4100,2100
that,1300,2600,700
he,900,2000,1200
is,3300,5800,1100
to,900,2100,1000
take,2800,4600,2100
possession,1300,3700,1100
before,2200,4000,2100
Michaelmas,2100,4100,2200
and,2600,4200,600
some,1100,2500,1000
of,2000,3400,300
his,1100,2300,1200
servants,2100,4000,2200
are,2200,3600,1600
to,800,2000,800
be,2100,8100,1600
in,1500,2900,1200
the,2300,3700,600
house,2800,4600,2700
by,2100,3400,600
the,1900,3200,400
end,2300,3800,1900
of,3000,4700,300
next,6000,8600,2000
week,2600,4100,1900
What,4400,6800,2900
is,2500,3800,900
his,1200,2300,1100
name,4000,5400,1900
Bingley,5100,11100,5400
Is,7000,10700,4800
he,2000,4100,3500
married,4500,7500,4500
or,3400,5600,1500
single,2500,4900,1900
Oh,10600,14900,8300
Single,6100,10100,3800
my,1400,4300,4200
dear,2900,8200,3000
to,1500,6800,1500
be,1700,3000,1200
sure,3800,5600,2300
A,2400,3800,2100
single,1900,3400,800
man,1600,4800,1200
of,2500,3900,400
large,700,1900,1900
fortune,1500,2800,1100
four,600,1800,1200
or,2100,5000,600
five,4800,7100,2900
thousand,2600,4200,9900
a,1700,3000,900
year,2700,4100,1500
What,400,1500,1000
a,1300,2300,600
fine,2800,4200,1600
thing,2400,3700,1500
for,2200,3300,800
our,2400,5200,2000
girls,2600,4100,1700
How,4300,8100,2100
so,1500,2700,1100
How,300,1300,700
can,2600,3900,2200
it,2100,3300,1000
affect,2400,5400,2200
them,3200,4600,1800
My,2100,3800,1700
dear,1300,2600,1000
Mr,900,2000,900
Bennet,1500,3400,2100
replied,5300,9400,6100
his,2800,5000,4800
wife,2800,5100,3200
how,7300,13600,5800
can,700,2400,3000
you,4000,9700,1900
be,3700,5300,1900
so,1300,2700,1500
tiresome,3200,5300,3100
You,2300,3900,1200
must,3000,5000,1400
know,1000,2200,1200
that,1600,2700,800
I,700,1600,800
am,3300,4600,1400
thinking,2500,4000,1500
of,2300,3500,300
his,1500,2600,900
marrying,2200,3600,1600
one,1400,2500,1000
of,2200,3300,300
them,300,1300,900
Is,900,2500,2400
that,3100,4600,1100
his,1500,2600,9700
design,4500,6300,2500
in,1700,2800,1100
settling,2300,3900,2300
here,1200,2200,1600
Design,4800,7000,2600
Nonsense,2700,6000,1800
how,400,1500,1500
can,400,1300,1200
you,1200,2400,700
talk,2800,4100,2800
so,2300,4800,900
But,1200,2100,700
it,3000,5100,3700
is,4900,7300,2600
very,5800,9800,3300
likely,3700,5600,15700
that,2100,3300,700
he,1200,2300,1000
may,4000,5900,1200
fall,3400,4900,1800
in,1600,2700,900
love,2700,4100,1600
with,2500,5400,500
one,1500,2700,1200
of,2400,3800,300
them,500,1700,1000
and,2300,4200,400
therefore,2300,4400,1500
you,1200,4000,700
must,1700,2900,700
visit,2700,4100,1300
him,1200,2300,1100
as,2500,3700,1300
soon,9800,12100,2500
as,300,2400,800
he,1700,2800,1100
comes,3200,5200,1700
I,1600,3300,13200
see,1100,2300,1000
no,3300,4700,500
occasion,3100,4700,1400
for,2400,3500,300
that,1800,2900,400
You,2200,3400,400
and,2400,3700,200
the,2200,3400,200
girls,500,1700,600
may,2100,3100,400
go,2700,4100,1300
or,2200,3400,400
you,1200,2200,600
may,2100,3100,400
send,2700,4000,1400
them,1000,2700,800
by,3600,5900,300
themselves,2900,4600,1800
which,2800,4200,1200
perhaps,4100,7900,1400
will,4800,7300,2000
be,3100,4600,600
still,2900,4400,1100
better,2600,3900,1200
for,2500,3700,500
as,600,2500,800
you,2100,4000,700
are,1100,3000,800
as,800,2600,600
handsome,4500,6300,2100
as,300,1300,400
any,2800,4200,1200
of,2700,5300,300
them,700,1700,600
Mr,1200,2300,800
Bingley,600,2000,500
may,2200,3200,500
like,2900,6100,2000
you,1400,2400,400
the,2300,3400,300
best,2800,4200,1200
of,2500,3600,200
the,2300,7000,300
party,5800,8000,1800
My,2700,4500,700
dear,1700,2900,400
you,1300,2400,400
flatter,3600,5100,1400
me,1200,6200,700
I,900,2000,500
certainly,2700,4200,1300
have,1600,2700,600
had,1300,2400,600
my,800,3400,500
share,2900,4300,1400
of,2700,3800,200
beauty,2500,3900,1000
but,2700,4000,1100
I,1900,3600,500
do,4100,5700,1600
not,1500,2700,500
pretend,2900,6400,1100
to,1600,2600,500
be,1700,2800,400
anything,2700,4100,1000
extraordinary,9600,18500,3500
now,3900,9700,1900
When,3900,5600,1700
a,1800,3000,300
woman,3000,4500,800
has,1500,2700,600
five,900,2000,600
grown,5300,7500,1700
up,3400,4800,1000
daughters,1700,3000,500
she,1400,2600,600
ought,3000,4400,1200
to,1500,2600,400
give,2800,4200,400
over,3100,6400,1100
thinking,1100,4500,1100
of,7400,10300,400
her,4200,5900,2300
own,3200,4600,1200
beauty,500,1600,600
In,5200,7300,1700
such,2500,3900,500
cases,4300,5800,1400
a,2000,3100,400
woman,400,1500,400
has,1500,2600,700
not,1600,2600,400
often,3100,4400,1000
much,1200,2400,500
beauty,300,1500,500
to,1500,2600,400
think,3200,4600,1200
of,2900,4000,200
But,2900,4700,700
my,1200,2300,700
dear,1900,3000,400
you,1700,2800,500
must,2300,3500,400
indeed,3700,5200,1600
go,600,1600,600
and,2800,4000,300
see,1100,2200,600
Mr,1500,2600,500
Bingley,900,2200,500
when,3400,4900,1200
he,1700,2900,600
comes,4900,6500,600
into,7000,8800,1100
the,4400,8200,500
neighbourhood,1900,3400,600
It,3400,5400,500
is,3100,5100,400
more,3900,5600,1700
than,3200,4800,1000
I,1200,2300,400
engage,2900,4400,1400
for,3000,4200,400
I,1100,2100,300
assure,2900,4400,1100
you,1700,2900,400
But,2400,4300,700
consider,4300,6900,1700
your,3900,5400,1300
daughters,1600,2900,400
Only,3500,4800,1700
think,200,1300,800
what,3900,6900,1900
an,3200,4500,900
establishment,2600,4200,1000
it,2700,3800,500
would,5100,7800,3500
be,3600,5700,700
for,17000,18300,400
one,1700,2800,600
of,2800,4000,200
them,1000,2100,500
Sir,3400,4900,1500
William,2900,4300,1100
and,2900,4000,200
Lady,3200,4600,1200
Lucas,3500,4800,1300
are,1100,2100,400
determined,2600,4000,1200
to,1700,2700,300
go,1100,2800,800
merely,4700,6400,1500
on,2100,3300,400
that,2400,3500,500
account,3300,4800,1500
for,2900,4100,300
in,2000,3000,500
general,2700,4200,1000
you,1800,2900,400
know,1700,3000,900
they,3500,4900,1200
visit,900,2000,400
no,2700,3800,300
newcomers,5000,7300,1700
Indeed,3600,5100,1300
you,1900,3100,400
must,2300,3400,400
go,700,1800,600
for,2900,3900,300
it,3700,4900,400
will,700,1700,500
be,1900,2900,400
impossible,2900,4500,1100
for,2800,3900,300
us,2900,4200,800
to,1600,2700,400
visit,1500,4900,600
him,2400,3500,700
if,4900,6500,2000
you,1700,2900,300
do,500,1500,500
not,1500,2500,400
You,4400,6200,500
are,1300,2400,400
over,600,1600,700
scrupulous,3500,5200,1600
surely,3200,4800,1200
I,1300,2400,300
dare,3900,5400,900
say,3100,4400,1000
Mr,1800,2900,500
Bingley,1100,2200,500
will,700,1700,500
be,2100,3100,500
very,900,3500,3800
glad,5800,8100,1800
to,2100,3300,500
see,1300,2400,500
you,1600,2700,300
and,3000,4200,300
I,1300,4100,400
will,800,1700,400
send,700,1700,700
a,2000,3000,300
few,3300,4700,1100
lines,3600,7600,1600
by,3200,4400,300
you,1700,2800,300
to,1600,2500,400
assure,400,1500,500
him,1600,2700,600
of,3700,5000,200
my,1300,2300,500
hearty,5400,7900,2200
consent,3800,5400,1500
to,1900,3000,400
his,1900,3000,400
marrying,1000,2300,600
whichever,2800,4300,1100
he,2100,3300,600
chooses,3100,4500,1000
of,3100,4400,200
the,2800,4000,200
girls,1100,2200,500
though,3200,4600,1100
I,2400,4100,500
must,2900,4200,400
throw,4100,8200,1600
in,2500,3700,500
a,2100,3100,300
good,2500,3600,500
word,3500,5000,900
for,3000,5800,400
my,1400,2400,500
little,2200,3400,400
Lizzy,3300,4700,1000
I,2600,4400,500
desire,4600,6500,1800
you,2200,3400,500
will,900,2000,400
do,700,1700,500
no,3100,4200,400
such,2500,3700,300
thing,1300,4000,500
Lizzy,100,1100,500
is,3000,4600,300
not,2000,3000,400
a,2000,3100,300
bit,4100,7200,1500
better,900,2100,600
than,500,1400,500
the,3100,4200,300
others,5600,7800,2000
and,3800,5200,300
I,1500,2500,400
am,900,2600,400
sure,1300,4100,500
she,1800,2800,400
is,3200,4400,300
not,1800,2900,400
half,3800,5200,1600
so,2200,4900,400
handsome,800,1900,600
as,800,1700,500
Jane,3400,4600,300
nor,3400,4700,1000
half,200,1200,700
so,2300,3400,400
good,4100,5900,600
humoured,4100,5800,2100
as,1100,2300,400
Lydia,4000,5500,1700
But,2000,3200,400
you,1900,3000,300
are,1200,2300,400
always,3400,4900,800
giving,3400,7600,1100
her,800,1800,800
the,3200,4300,300
preference,3100,4600,1100
They,6000,8300,1400
have,2700,4300,500
none,4000,5400,1000
of,3300,4500,300
them,1300,2400,500
much,1600,2800,500
to,2600,3700,500
recommend,3300,4700,800
them,1400,2400,500
replied,1800,3000,400
he,2200,3300,600
they,500,1400,500
are,1400,2400,400
all,3100,6700,700
silly,4900,6600,1500
and,3700,5000,200
ignorant,3300,4900,1700
like,1100,2200,700
other,2300,5000,500
girls,1300,2400,500
but,800,1900,700
Lizzy,200,1200,500
has,1800,2800,700
something,3200,8000,1300
more,800,2500,600
of,3500,4700,100
quickness,5600,7900,1600
than,1000,2200,500
her,800,1800,700
sisters,3900,5500,1000
Mr,3400,5200,700
Bennet,2500,5500,500
how,1300,2300,600
can,1100,2100,500
you,2000,3100,400
abuse,4500,6000,1700
your,800,1900,500
own,700,1700,700
children,3700,5200,1200
in,2800,3900,500
such,2700,3800,300
a,2100,3100,300
way,3700,6700,2000
You,3300,4400,400
take,2800,4600,800
delight,4900,6600,1600
in,3700,4900,500
vexing,3800,5200,1100
me,1900,3000,500
You,3100,4200,300
have,2600,3700,500
no,3100,4200,300
compassion,3200,4600,1600
for,3300,4500,300
my,1600,2600,400
poor,4000,5300,1000
nerves,3700,5200,1100
You,5200,7500,500
mistake,4500,6400,1800
me,2000,5000,500
my,1700,2700,400
dear,2500,3700,400
I,1500,2600,500
have,2300,3300,400
a,2300,3300,300
high,4100,5500,1600
respect,3700,5100,1000
for,3400,4700,300
your,800,1800,500
nerves,200,2300,600
They,400,1400,400
are,2700,4600,700
my,1900,3100,500
old,4700,6500,1500
friends,4000,5500,1400
I,1800,2900,400
have,2300,3400,500
heard,2400,3500,600
you,2200,3400,400
mention,3500,4900,1100
them,2800,4000,500
with,3800,5200,200
consideration,3200,4700,1200
these,6200,8600,1900
last,2900,4300,700
twenty,3900,5600,1000
years,4000,6300,1000
at,3400,6800,400
least,4000,5300,1300
Ah,6100,10000,1800
you,3200,4500,400
do,1100,2100,600
not,2200,3200,400
know,2200,4100,600
what,800,1900,500
I,1700,2800,300
suffer,4200,5700,1200
But,3600,5500,700
I,1900,3100,500
hope,5100,6900,1800
you,2600,3800,400
will,1400,2500,400
get,4000,5300,1300
over,1200,3000,500
it,3400,4500,400
and,3800,5000,200
live,4600,6100,1300
to,2400,3400,500
see,1700,2700,500
many,6800,8600,1400
young,2700,4100,500
men,5600,7000,1400
of,3900,5100,200
four,2200,3400,600
thousand,3800,9500,800
a,3800,5100,500
year,1900,3100,400
come,4900,6500,1900
into,1200,2300,600
the,3600,4800,300
neighbourhood,2600,4000,400
It,4600,6500,500
will,1600,2800,500
be,2700,3800,400
no,3500,4600,400
use,3300,6300,300
to,2400,3400,400
us,700,1600,400
if,600,3100,700
twenty,300,1400,400
such,3100,7800,400
should,4800,6300,1600
come,200,1200,600
since,4400,5800,1200
you,2600,3700,300
will,1400,6200,300
not,2400,3500,400
visit,2500,4300,800
them,1900,3000,700
Depend,6400,8800,2100
upon,5000,6700,1000
it,3600,4900,500
my,2100,3200,500
dear,2800,4000,500
that,3100,4200,400
when,1100,2200,500
there,4100,5500,1600
are,3300,4500,500
twenty,300,1300,500
I,1800,2800,400
will,1400,2400,400
visit,1500,2600,400
them,1800,2800,500
all,3900,5800,800
Mr,4000,5900,800
Bennet,2800,4100,600
was,2100,3100,600
so,2400,3600,400
odd,4600,6200,1800
a,3200,4300,300
mixture,4000,5500,1600
of,3800,5000,200
quick,4200,5500,1000
parts,4200,5500,1500
sarcastic,3900,5400,1000
humour,4100,5500,1700
reserve,9900,13600,2900
and,8000,10500,400
caprice,8000,10900,2300
that,7200,9600,600
the,6700,11900,1700
experience,7500,10600,2400
of,7300,9800,400
three,8300,11000,2200
and,7400,9800,500
twenty,800,2700,700
years,700,2400,1000
had,6600,9000,1100
been,7000,10300,1200
insufficient,8300,11700,5500
to,4800,6900,2900
make,15800,19600,3000
his,6200,8800,1000
wife,6100,8700,700
understand,7500,10600,1900
his,5700,7900,1200
character,7200,10000,2500
Her,7600,9900,2200
mind,7900,10300,2000
was,6500,10000,1300
less,10000,13500,2800
difficult,7800,10900,2400
to,5200,7300,800
develop,9200,13500,3000
She,10100,14200,2100
was,4900,7200,1000
a,5600,8000,700
woman,2800,5100,800
of,7300,9600,300
mean,8600,11200,5500
understanding,7900,11000,1600
little,29300,53300,1400
information,11700,24300,4400
and,8600,10700,700
uncertain,7700,10500,1900
temper,8000,10400,2200
When,3100,4900,1500
she,4900,6800,1000
was,4000,5800,900
discontented,7100,9600,2500
she,6500,8800,7800
fancied,11200,14300,8300
herself,8800,11300,2900
nervous,7900,10400,2500
The,7900,11100,200
business,7600,10200,2500
of,7400,9400,400
her,2700,4400,1400
life,8400,10600,2400
was,4700,6600,700
to,4800,6500,600
get,1000,3800,900
her,2500,4100,1000
daughters,6300,9100,600
married,4100,6000,700
its,10700,13900,2700
solace,8500,10600,2000
was,4900,6600,600
visiting,6900,9400,1900
and,9100,11100,300
news,8900,11800,2400
Chapter,8200,12600,1000
2,8600,12200,3100
Mr,6700,8900,1000
Bennet,6200,10500,800
was,4800,6400,900
among,7800,9700,2700
the,7600,9600,300
earliest,7400,9700,2300
of,7300,11500,300
those,8100,10000,2300
who,4900,6800,700
waited,7300,9500,1800
on,6400,8700,1000
Mr,6100,10300,900
Bingley,4600,6600,700
He,8100,10300,2000
had,6500,8800,1300
always,2000,3800,700
intended,7500,9700,3900
to,6000,7700,600
visit,3800,5700,700
him,5400,7200,1000
though,2100,3800,800
to,4900,6400,500
the,7200,10900,400
last,6400,8600,1400
always,1800,3500,600
assuring,7600,10000,2500
his,7600,9900,800
wife,9600,11800,1000
that,7400,9400,600
he,5600,7600,800
should,1100,2900,800
not,5000,6700,600
go,2900,4500,900
and,7400,9200,300
till,8900,11200,2900
the,7400,9200,400
evening,7500,9700,2500
after,7700,9700,2300
the,7500,9400,300
visit,3700,5400,600
was,4200,5900,600
paid,10200,12600,3900
she,5600,7400,700
had,5000,6900,1000
no,7400,9500,500
knowledge,7300,9700,2500
of,7600,9500,200
it,7000,8700,700
It,50600,53000,700
was,5600,7300,700
then,8500,10800,3000
disclosed,7400,9600,2700
in,6000,7700,700
the,7300,9300,300
following,7700,10000,2100
manner,9400,12200,2800
Observing,8000,10300,2500
his,7100,9100,700
second,8000,10100,2100
daughter,7500,12000,1700
employed,8000,10200,2000
in,6000,8000,700
trimming,7200,9500,1600
a,5800,7600,500
hat,7600,11500,2600
he,6100,7900,800
suddenly,9200,11800,2500
addressed,7800,10400,1700
her,3400,5300,1400
with,11100,13600,500
I,37300,39900,700
hope,1900,3600,1300
Mr,5900,7600,600
Bingley,4400,6400,700
will,3500,5100,700
like,3100,4700,1300
it,7200,9000,700
Lizzy,2400,4100,900
We,9600,12200,2800
are,5100,6800,800
not,5300,6900,600
in,5900,7900,900
a,6000,7600,500
way,1900,3600,1000
to,5500,7100,500
know,5500,7500,800
what,2900,4600,700
Mr,5400,7200,700
Bingley,4100,6000,700
likes,7700,9800,3000
said,6200,7900,600
her,2900,4500,1200
mother,7700,9700,2300
resentfully,8900,11800,2800
since,1700,3300,700
we,8100,10300,2200
are,4700,6400,600
not,5200,6900,600
to,5400,7300,600
visit,3800,5400,700
But,6900,9000,800
you,42000,44400,700
forget,8700,10800,2600
mamma,8000,9600,2300
said,6300,9300,600
Elizabeth,7400,9300,1400
that,7200,10300,900
we,300,1600,800
shall,8600,10500,2400
meet,8800,10600,2500
him,5700,7300,900
at,6900,8400,400
the,8800,12000,400
assemblies,9400,12200,3000
and,9700,11800,300
that,7600,11500,600
Mrs,5700,9100,800
Long,6100,8000,800
promised,8200,10500,2500
to,6300,7900,600
introduce,8300,10600,3600
him,6700,8700,1300
I,6400,8800,800
do,3600,5300,1000
not,39000,42000,800
believe,9300,11500,3500
Mrs,6200,11900,800
Long,6500,9500,700
will,4100,5700,700
do,3600,5300,800
any,3500,5200,700
such,7100,8900,500
thing,4700,6700,700
She,1000,2400,800
has,5100,6900,1100
two,8400,10600,2700
nieces,8600,10700,2100
of,12100,15100,400
her,3700,5500,1200
own,3000,4500,1500
She,1100,2600,500
is,7800,9500,500
a,6100,7800,500
selfish,7900,10100,4300
hypocritical,7600,9900,2800
woman,3800,5700,500
and,8000,10100,300
I,5100,7000,600
have,6100,7900,900
no,7300,9400,500
opinion,8300,10800,1800
of,92000,96800,500
her,5100,7900,2000
No,27100,31200,5700
more,5200,7100,1400
have,8000,9900,1000
I,5700,7400,600
said,7100,9000,900
Mr,6200,7700,700
Bennet,6300,8200,1100
and,9400,12000,300
I,30800,32400,600
am,4600,6300,600
glad,3200,5000,1100
to,6200,9500,800
find,11000,13300,16100
that,7500,9100,500
you,6500,8200,800
do,3600,4900,900
not,8500,10500,700
depend,9400,11700,2900
on,6700,8700,800
her,3900,6300,1200
serving,8800,10700,2700
you,6900,11400,600
Mrs,11500,20700,1100
Bennet,9300,16500,800
deigned,7100,9400,3400
not,4800,9200,700
to,4500,6100,600
make,1100,2500,1100
any,2600,4000,800
reply,6100,8100,2500
but,3000,6700,1200
unable,6400,8300,2300
to,4600,6200,600
contain,5900,7800,2100
herself,1600,3800,1600
began,7800,9900,3000
scolding,6800,8900,2400
one,5100,6700,800
of,5500,9000,300
her,4400,6900,1500
daughters,5200,7000,500
Don,8000,10600,2900
t,6900,9000,2300
keep,7100,8800,2300
coughing,6400,8500,1500
so,5000,6700,800
Kitty,6700,8900,2100
for,6400,8100,500
Heaven,6200,8000,2000
s,6200,7600,1500
sake,6300,10200,2100
Have,6200,7800,1400
a,4800,6300,600
little,4700,6800,800
compassion,2400,5000,1600
on,5600,7300,600
my,3900,5400,800
nerves,1700,3200,700
You,5300,6700,500
tear,6300,10300,3100
them,4400,6000,800
to,3900,5100,600
pieces,5800,7700,2500
Kitty,500,2800,1300
has,5700,7400,1200
no,7100,9100,600
discretion,6800,9000,3400
in,5700,7600,900
her,3200,5200,12200
coughs,14000,18900,4300
said,6300,8900,900
her,3200,4700,1300
father,6400,8800,5700
she,7000,11700,900
times,8300,11000,3400
them,5800,7900,1300
ill,7700,9700,4600
I,6100,7900,800
do,2200,3000,1100
not,3200,12000,600
cough,9700,12100,2400
for,5900,7000,400
my,3400,4300,500
own,1700,2700,1700
amusement,7600,19700,4100
replied,6000,8200,700
Kitty,500,3700,1100
fretfully,6700,8200,2500
When,4900,7600,1200
is,5900,7700,600
your,4300,6500,1300
next,4700,6500,1100
ball,7100,9500,3200
to,4900,6700,800
be,4700,6500,700
Lizzy,2400,4200,1100
To,8600,10400,2100
morrow,5500,6700,2200
fortnight,4400,5600,1400
Aye,8100,9600,2300
so,4600,5700,600
it,4000,10600,500
is,4500,5300,200
cried,3100,14200,500
her,3200,4300,1200
mother,500,1500,500
and,5300,6300,200
Mrs,3000,4100,800
Long,3100,4000,500
does,4500,5600,1900
not,3300,4100,300
come,1100,1900,900
back,3900,4600,1300
till,1400,2500,1100
the,6200,7300,200
day,3500,4500,500
before,2600,3900,600
so,3100,3800,500
it,3700,4500,400
will,2100,2900,800
be,2900,3800,400
impossible,1500,2400,700
for,3700,6000,300
her,2000,3000,800
to,2700,3600,300
introduce,500,1500,800
him,2900,3800,400
for,6800,8000,300
she,3400,4400,600
will,2100,2900,400
not,2700,3500,300
know,2600,3800,700
him,2900,3800,400
herself,900,1700,700
Then,6900,8100,2000
my,4700,5600,500
dear,3300,4200,400
you,2900,3800,400
may,4000,4800,300
have,3100,3900,500
the,3800,4600,200
advantage,4000,5400,1800
of,4100,5200,200
your,2000,2700,600
friend,4100,5300,1400
and,4300,5100,200
introduce,600,1500,600
Mr,5800,6900,600
Bingley,3100,4100,1000
to,2900,3700,2100
